,Period,Data_value,STATUS,STATUS_Labeled,Series_reference_BDCQ.SEA1AA,Series_reference_BDCQ.SEA1AS,Series_reference_BDCQ.SEA1AT,Series_reference_BDCQ.SEA1BA,Series_reference_BDCQ.SEA1BS,Series_reference_BDCQ.SEA1BT,Series_reference_BDCQ.SEA1CA,Series_reference_BDCQ.SEA1CS,Series_reference_BDCQ.SEA1CT,Series_reference_BDCQ.SEA1DA,Series_reference_BDCQ.SEA1DS,"Series_title_2_Agriculture, Forestry and Fishing","Series_title_2_Electricity, Gas, Water and Waste Services",Series_title_2_Manufacturing,Series_title_2_Mining,Series_title_3_Actual,Series_title_3_Seasonally adjusted,Series_title_3_Trend
0,2011.06,80078,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2011.09,78324,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,2011.12,85850,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,2012.03,90743,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4,2012.06,81780,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,2012.09,79261,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,2012.12,87793,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,2013.03,91571,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,2013.06,81687,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9,2013.09,81471,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,2013.12,93950,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,2014.03,97208,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,2014.06,85879,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,2014.09,84447,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
14,2014.12,95075,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,2015.03,98202,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16,2015.06,87987,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,2015.09,84529,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,2015.12,96848,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,2016.03,99291,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20,2016.06,88716,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,2016.09,85933,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,2016.12,96540,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23,2017.03,98994,F,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
